fourletter_code,english_name,scientific_name
WBWO,Wedge-billed Woodcreeper,Glyphorynchus spirurus
WRSP,Wedge-rumped Storm-Petrel,Hydrobates tethys
WTGF,Wedge-tailed Grass-Finch,Emberizoides herbicola
WTSA,Wedge-tailed Sabrewing,Campylopterus curvipennis
WTSH,Wedge-tailed Shearwater,Ardenna pacifica
WIWD,West Indian Whistling-Duck,Dendrocygna arborea
WIWO,West Indian Woodpecker,Melanerpes superciliaris
WMCH,West Mexican Chachalaca,Ortalis poliocephala
WEBL,Western Bluebird,Sialia mexicana
WECT,Western Chat-Tanager,Calyptophilus tertius
WEGR,Western Grebe,Aechmophorus occidentalis
WEGU,Western Gull,Larus occidentalis
WEKI,Western Kingbird,Tyrannus verticalis
WMHA,Western Marsh Harrier,Circus aeruginosus
WEME,Western Meadowlark,Sturnella neglecta
WERH,Western Reef-Heron,Egretta gularis
WESA,Western Sandpiper,Calidris mauri
WESO,Western Screech-Owl,Megascops kennicottii
WESP,Western Spindalis,Spindalis zena
WETA,Western Tanager,Piranga ludoviciana
WEWR,Western Water-Rail,Rallus aquaticus
WEWP,Western Wood-Pewee,Contopus sordidulus
WHIM,Whimbrel,Numenius phaeopus
WHAU,Whiskered Auklet,Aethia pygmaea
WHSO,Whiskered Screech-Owl,Megascops trichopsis
WHST,Whiskered Tern,Chlidonias hybrida
WHHE,Whistling Heron,Syrigma sibilatrix
WHIW,Whistling Warbler,Catharopeza bishopi
WHHA,White Hawk,Pseudastur albicollis
WHIB,White Ibis,Eudocimus albus
WHTT,White Tern,Gygis alba
WHWA,White Wagtail,Motacilla alba
WHTH,White's Thrush,Zoothera aurea
WBEA,White-bellied Antbird,Myrmeciza longipes
WBCH,White-bellied Chachalaca,Ortalis leucogastra
WBEM,White-bellied Emerald,Amazilia candida
WBMG,White-bellied Mountain-gem,Lampornis hemileucus
WBWR,White-bellied Wren,Uropsila leucogastra
WBNU,White-breasted Nuthatch,Sitta carolinensis
WBTH,White-breasted Thrasher,Ramphocinclus brachyurus
WBWW,White-breasted Wood-Wren,Henicorhina leucosticta
WCAL,White-capped Albatross,Thalassarche cauta
WCHP,White-cheeked Pintail,Anas bahamensis
WCPE,White-chinned Petrel,Procellaria aequinoctialis
WCHS,White-chinned Swift,Cypseloides cryptus
WCTH,White-chinned Thrush,Turdus aurantius
WCOM,White-collared Manakin,Manacus candei
WCSW,White-collared Swift,Streptoprocne zonaris
WCCO,White-crested Coquette,Lophornis adorabilis
WCEL,White-crested Elaenia,Elaenia albiceps
WCRM,White-crowned Manakin,Dixiphia pipra
WCPA,White-crowned Parrot,Pionus senilis
WCPI,White-crowned Pigeon,Patagioenas leucocephala
WCSP,White-crowned Sparrow,Zonotrichia leucophrys
WECO,White-eared Conebill,Conirostrum leucogenys
WEGS,White-eared Ground-Sparrow,Melozone leucotis
WEHU,White-eared Hummingbird,Hylocharis leucotis
WETH,White-eyed Thrush,Turdus jamaicensis
WEVI,White-eyed Vireo,Vireo griseus
WFGS,White-faced Ground-Sparrow,Melozone biarcuata
WFIB,White-faced Ibis,Plegadis chihi
WFAQ,White-faced Quail-Dove,Zentrygon albifacies
WFSP,White-faced Storm-Petrel,Pelagodroma marina
WFWD,White-faced Whistling-Duck,Dendrocygna viduata
